ID,Title,Directed by,Produced by,Cinematography,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Production companies,Release Year,SentimentScore,Budget (float),Box Office Status
66,Please Give,Nicole Holofcener,Anthony Bregman,Yaron Orbach,87.0,2010-01-22,Sony Pictures Classics,English,Nicole Holofcener,"['Catherine Keener', 'Amanda Peet', 'Oliver Platt', 'Rebecca Hall', 'Ann Guilbert', 'Sarah Steele']",Robert Frazen,Likely Story,2010,0.77,3000000.0,Failure
67,Iron Man 2,Jon Favreau,Kevin Feige,Matthew Libatique,125.0,2010-04-26,Paramount Pictures,English,Justin Theroux,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson']","['Dan Lebental', 'Richard Pearson']",Marvel Studios,2010,0.52,170000000.0,Success
68,Mother and Child,Rodrigo García,"['Lisa Maria Falcone ', ' Julie Lynn']",Xavier Pérez Grobet,125.0,2009-09-14,Sony Pictures Classics,English,Rodrigo García,"['Naomi Watts', 'Annette Bening', 'Kerry Washington', 'Jimmy Smits', 'Samuel L. Jackson', 'David Morse', 'David Ramsey']",Steven Weisberg,"['Cha Cha Cha Films', 'Everest Entertainment', 'Mockingbird Pictures']",2009,0.75,7000000.0,Failure
69,Just Wright,Sanaa Hamri,"['Debra Martin Chase', 'Queen Latifah', 'Shakim Compere']",Terry Stacey,101.0,2010-05-14,Fox Searchlight Pictures,English,Michael Elliot,"['Queen Latifah', 'Common', 'Paula Patton']",Melissa Kent,"['Flavor Unit Entertainment', 'Dune Entertainment']",2010,0.81,12000000.0,Failure
70,Letters to Juliet,Gary Winick,"['Caroline Kaplan', 'Ellen Barkin', 'Mark Canton']",Marco Pontecorvo,105.0,2010-04-25,Summit Entertainment,English,"['José Rivera', 'Tim Sullivan']","['Amanda Seyfried', 'Christopher Egan', 'Gael García Bernal', 'Vanessa Redgrave', 'Franco Nero']",Bill Pankow,Applehead Pictures,2010,0.82,30000000.0,Success
72,Here and There,Darko Lungulov,"['Darko Lungulov', 'George Lekovic', 'David Nemer', 'Vladan Nikolic']",Mathias Schöningh,85.0,2009-04-22,"['Vivendi Entertainment', 'Lightyear Entertainment']",Serbian,Darko Lungulov,"['David Thornton', 'Branislav Trifunović', 'Cyndi Lauper', 'Mirjana Karanović', 'Jelena Mrđa', 'Antone Pagan']",Dejan Urosevic,"['KinoKamera', 'Here and There Productions', 'Joroni Film']",2009,0.77,300000.0,Failure
73,Princess Kaiulani,Marc Forby,"['Lauri Apelion', 'Marc Forby', 'Ricardo S. Galindez', 'Nigel Thomas', 'Roy Tjioe']",Gabriel Beristain,97.0,2009-10-16,Roadside Attractions,English,"['Marc Forby', 'Robert Payne']","[""Q'orianka Kilcher"", 'Barry Pepper', 'Will Patton', 'Julian Glover', 'Shaun Evans']",Beverley Mills,"['Island Film Group', 'ContentFilm']",2009,0.54,9000000.0,Failure
74,MacGruber,Jorma Taccone,"['Lorne Michaels', 'John Goldwyn']",Brandon Trost,91.0,2010-03-15,Universal Pictures,English,"['Will Forte', 'John Solomon', 'Jorma Taccone']","['Will Forte', 'Kristen Wiig', 'Ryan Phillippe', 'Val Kilmer', 'Maya Rudolph', 'Powers Boothe']",Jamie Gross,"['Rogue Pictures', 'Relativity Media', 'Michaels - Goldwyn']",2010,0.5161290322580645,10000000.0,Failure
76,John Rabe,Florian Gallenberger,"['Benjamin Herrmann', 'Mischa Hofmann', 'Jan Mojto']",Jürgen Jürges,134.0,2009-04-02,"['20th Century Fox (Germany)', 'Aramis Films (France)', 'Huayi Brothers (China)']",English,Florian Gallenberger,"['Ulrich Tukur', 'Daniel Brühl', 'Steve Buscemi', 'Anne Consigny', 'Jingchu Zhang']",Hansjörg Weißbrich,"['Majestic Filmproduktion', 'Canal+', 'Huayi Brothers', 'France 2 Cinéma', 'Antena 3 Films', 'RAI Cinema', 'ORF']",2009,0.4666666666666667,20000000.0,Failure
77,Kites,Anurag Basu,"['Rakesh Roshan (Hindi version)', 'Brett Ratner', ' (English version)']",Ayananka Bose,130.0,2010-05-21,Reliance BIG Pictures,English,"['Robin Bhatt', 'Akarsh Khurana', 'Anurag Basu']","['Hrithik Roshan', 'Barbara Mori', 'Kangana Ranaut', 'Kabir Bedi', 'Nicholas Brown']","['Akiv Ali', 'Mark Helfrich', ' (English version)']",Filmkraft Productions Pvt. Ltd,2010,0.77,17930000.0,Failure
78,Solitary Man,"['Brian Koppelman', 'David Levien']","['Moshe Diamant', 'Danny Dimbort', 'Joe Gatta', ' ', 'Jared Ian Goldman', 'Steven Soderbergh']",Alwin H. Küchler,90.0,2010-05-07 00:00:00,"['Millennium Films', 'Smartest Man Productions']",English,Brian Koppelman,"['Michael Douglas', 'Jenna Fischer', 'Jesse Eisenberg', 'Mary-Louise Parker', 'Imogen Poots', 'Susan Sarandon', 'Danny DeVito']",Tricia Cooke,"['Millennium Films', 'Paul Schiff Productions', 'Smartest Man Productions']",2010,0.4736842105263157,15000000.0,Failure
79,Sex and the City 2,Michael Patrick King,"['Michael Patrick King', 'Sarah Jessica Parker', 'Darren Star', 'John Melfi']",John Thomas,146.0,2010-05-27,Warner Bros. Pictures,English,Michael Patrick King,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'John Corbett', 'Chris Noth']",Michael Berenbaum,"['New Line Cinema', 'HBO Films', 'Village Roadshow Pictures']",2010,0.4421052631578947,95000000.0,Success
80,Prince of Persia: The Sands of Time,Mike Newell,Jerry Bruckheimer,John Seale,116.0,2010-05-09,"['Walt Disney Studios', 'Motion Pictures']",English,"['Boaz Yakin', 'Doug Miro', 'Carlo Bernard']","['Jake Gyllenhaal', 'Ben Kingsley', 'Gemma Arterton', 'Alfred Molina']","['Michael Kahn', 'Martin Walsh', 'Mick Audsley']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",2010,0.86,150000000.0,Failure
82,Micmacs,Jean-Pierre Jeunet,"['Frédéric Brillion', 'Gilles Legrand']",Tetsuo Nagata,105.0,2009-09-15,Warner Bros. Entertainment France,French,"['Jean-Pierre Jeunet', 'Guillaume Laurent']",Dany Boon,Hervé Schneid,"['Epithéte Films', 'Tapioca Films', 'France 3 Cinéma']",2009,0.723404255319149,30800000.0,Failure
84,Get Him to the Greek,Nicholas Stoller,"['Judd Apatow', 'Joshua Blake', 'David Bushell', 'Rodney Rothman', 'Nicholas Stoller']",Robert Yeoman,109.0,2010-06-04,Universal Pictures,English,Nicholas Stoller,"['Jonah Hill', 'Russell Brand', 'Elisabeth Moss', 'Rose Byrne', 'Colm Meaney', 'Sean Combs']","['William Kerr', 'Michael Sale']","['Apatow Productions', 'Relativity Media', 'Spyglass Entertainment']",2010,0.4057971014492754,40000000.0,Success
85,Killers,Robert Luketic,"['Scott Aversano', 'Jason Goldberg', 'Mike Karz', 'Ashton Kutcher', 'Chad Marting', 'Christopher S. Pratt', 'Josie Rosen']",Russell Carpenter,100.0,2010-06-01,Lionsgate,English,"['Bob DeRosa', 'Ted Griffin']","['Ashton Kutcher', 'Katherine Heigl', 'Tom Selleck', ""Catherine O'Hara""]","['Mary Jo Markey', 'Richard Francis-Bruce']",['Katalyst Media'],2010,0.63,75000000.0,Failure
86,Marmaduke,Tom Dey,John Davis,Greg Gardiner,86.0,2010-06-04,20th Century Fox,English,"['Tim Rasmussen', 'Vince Di Meglio']","['Owen Wilson', 'Lee Pace', 'Judy Greer', 'William H. Macy', 'Steve Coogan', 'Sam Elliott', 'Fergie', 'George Lopez', 'Christopher Mintz-Plasse', 'Emma Stone', 'Kiefer Sutherland', 'Marlon Wayans']",Don Zimmerman,"['20th Century Fox', 'Regency Enterprises', 'Davis Entertainment', 'Dune Entertainment']",2010,0.61,50000000.0,Failure
87,Splice,Vincenzo Natali,Steve Hoban,Tetsuo Nagata,104.0,2009-10-06,"['Gaumont (France)', 'Les Films Séville (Canada)']",English,"['Vincenzo Natali', 'Antoinette Terry Bryant', 'Doug Taylor']","['Adrien Brody', 'Sarah Polley', 'Delphine Chanéac']",Michele Conroy,"['Copperheart Entertainment', 'Gaumont', 'Telefilm Canada', 'Ontario Media Development Corporation']",2009,0.43,30000000.0,Failure
88,Ondine,Neil Jordan,"['Ben Browning', 'James Flynn', 'Neil Jordan']",Christopher Doyle,111.0,2009-09-14,Paramount Vantage,English,Neil Jordan,"['Colin Farrell', 'Alicja Bachleda']",Tony Lawson,"['Wayfare Entertainment', 'Little Wave', 'Octagon Films']",2009,0.6,12000000.0,Failure
89,The A-Team,Joe Carnahan,"['Stephen J. Cannell', 'Tony Scott', 'Spike Seldin', 'Jules Daly', 'Alex Young', 'Iain Smith']",Mauro Fiore,119.0,2010-06-11,20th Century Fox,English,"['Joe Carnahan', 'Brian Bloom', 'Skip Woods']","['Liam Neeson', 'Bradley Cooper', 'Jessica Biel', 'Quinton Jackson', 'Sharlto Copley', 'Patrick Wilson']","['Roger Barton', 'Jim May']","['Dune Entertainment', 'Top Cow Productions', 'Scott Free Productions']",2010,0.5573770491803278,100000000.0,Failure
90,The Karate Kid,Harald Zwart,"['Jerry Weintraub', 'Will Smith', 'Jada Pinkett Smith', 'James Lassiter', 'Ken Stovitz']",Roger Pratt,140.0,2010-06-11,"['Sony Pictures Releasing', ' (United States and International)', 'EDKO', ' (China and Hong Kong)']",English,Christopher Murphey,"['Jaden Smith', 'Jackie Chan', 'Taraji P. Henson']",Joel Negron,"['Columbia Pictures', 'China Film Group', 'Overbrook Entertainment', 'JW Productions']",2010,0.63,40000000.0,Success
91,Coco Chanel & Igor Stravinsky,Jan Kounen,"['Chris Bolzli', 'Claudie Ossard', 'Veronika Zonabend']",David Ungaro,118.0,2009-05-24,Wild Bunch Distribution,English,"['Carlo de Boutiny', 'Jan Kounen']","['Anna Mouglalis', 'Mads Mikkelsen']",Anne Danché,"['Eurowide Film Production', 'Hexagon Pictures', 'Filmazure']",2009,0.0,12000000.0,Failure
92,Winter's Bone,Debra Granik,"['Anne Rosellini ', 'Alix Madigan-Yorkin']",Michael McDonough,100.0,2010-01-21,Roadside Attractions,English,"['Debra Granik ', 'Anne Rosellini']","['Jennifer Lawrence', 'John Hawkes', 'Kevin Breznahan', 'Dale Dickey', 'Garret Dillahunt', 'Sheryl Lee', 'Tate Taylor']",Affonso Gonçalves,"['Anonymous Content', ' ', ""Winter's Bone Productions""]",2010,0.8,2000000.0,Success
93,Jonah Hex,Jimmy Hayward,"['Akiva Goldsman', 'Andrew Lazar']",Mitchell Amundsen,81.0,2010-06-18,Warner Bros. Pictures,English,Neveldine & Taylor,"['Josh Brolin', 'John Malkovich', 'Megan Fox', 'Michael Fassbender', 'Will Arnett', 'Michael Shannon']","['Fernando Villena', 'Tom Lewis']","['Legendary Pictures', 'DC Entertainment', 'Weed Road Pictures', 'Mad Chance Productions']",2010,0.5,47000000.0,Failure
96,Cyrus,"['Jay Duplass', 'Mark Duplass']",Michael Costigan,Jas Shelton,91.0,2010-01-23,Fox Searchlight Pictures,English,"['Jay Duplass', 'Mark Duplass']","['John C. Reilly', 'Jonah Hill', 'Marisa Tomei', 'Catherine Keener']",Jay Deuby,Scott Free Productions,2010,0.58,7000000.0,Failure
97,I Am Love,Luca Guadagnino,"['Luca Guadagnino', 'Tilda Swinton', ""Francesco Melzi d'Eril"", 'Marco Morabito', 'Alessandro Usai', 'Massimiliano Violante']",Yorick Le Saux,120.0,2009-09-05,Mikado Film,English,"['Barbara Alberti', 'Ivan Cotroneo', 'Walter Fasano', 'Luca Guadagnino']","['Tilda Swinton', 'Flavio Parenti', 'Edoardo Gabbriellini', 'Alba Rohrwacher', 'Pippo Delbono', 'Maria Paiato', 'Diane Fleri', 'Waris Ahluwalia', 'Marisa Berenson', 'Gabriele Ferzetti']",Walter Fasano,First Sun,2009,0.5942028985507246,10000000.0,Failure
98,The Killer Inside Me,Michael Winterbottom,Bradford L. Schlei,Marcel Zyskind,109.0,2010-01-24,IFC Films,English,John Curran,"['Casey Affleck', 'Kate Hudson', 'Jessica Alba', 'Ned Beatty', 'Elias Koteas', 'Tom Bower', 'Simon Baker', 'Bill Pullman']",Mags Arnold,"['Revolution Films', 'Hero Entertainment', 'Indion Entertainment Group']",2010,0.4772727272727273,13000000.0,Failure
99,Knight and Day,James Mangold,"['Cathy Konrad', 'Todd Garner', 'Steve Pink']",Phedon Papamichael,109.0,2010-06-16,20th Century Fox,English,Patrick O'Neill,"['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Viola Davis', 'Jordi Mollà', 'Paul Dano']","['Michael McCusker', 'Quincy Z. Gunderson']","['Regency Enterprises', 'Dune Entertainment', 'New Regency', 'Pink Machine', 'Todd Garner Productions', 'Tree Line Film']",2010,0.8,117000000.0,Failure
100,Grown Ups,Dennis Dugan,"['Adam Sandler', 'Jack Giarraputo']",Theo van de Sande,102.0,2010-06-25,Sony Pictures Releasing,English,"['Adam Sandler', 'Fred Wolf']","['Adam Sandler', 'Kevin James', 'Chris Rock', 'David Spade', 'Rob Schneider', 'Salma Hayek', 'Maria Bello', 'Maya Rudolph']",Tom Costain,"['Columbia Pictures', 'Happy Madison Productions', 'Relativity Media']",2010,0.71,75000000.0,Success
101,Wild Grass,Alain Resnais,"['Jean-Louis Livi', 'Julie Salvador']",Éric Gautier,104.0,2009-11-04,StudioCanal,French,"['Alex Reval', 'Laurent Herbiet']","['Sabine Azéma', 'André Dussollier', 'Anne Consigny', 'Emmanuelle Devos']",Hervé de Luze,"['F Comme Film', 'StudioCanal', 'France 2 Cinéma']",2009,0.0,13000000.0,Failure
102,The Twilight Saga: Eclipse,David Slade,"['Wyck Godfrey', 'Karen Rosenfelt']",Javier Aguirresarobe,123.0,2010-06-24,Summit Entertainment,English,Melissa Rosenberg,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Bryce Dallas Howard', 'Billy Burke', 'Dakota Fanning']","['Art Jones', 'Nancy Richardson']",Summit Entertainment,2010,0.52,68000000.0,Success
103,Love Ranch,Taylor Hackford,"['David Bergstein', 'Lou DiBella', 'Taylor Hackford']",Kieran McGuigan,117.0,2010-06-30,"['Capitol Films', 'Road Rebel']",English,Mark Jacobson,"['Helen Mirren', 'Joe Pesci']",Paul Hirsch,"['Aramid Entertainment Fund', 'Film & Entertainment VIP Medienfonds 3 GmbH & Co. KG', 'Rising Star']",2010,0.6666666666666666,25000000.0,Failure
104,The Last Airbender,M. Night Shyamalan,"['M. Night Shyamalan', 'Sam Mercer', 'Frank Marshall']",Andrew Lesnie,103.0,2010-06-30,Paramount Pictures,English,M. Night Shyamalan,"['Noah Ringer', 'Dev Patel', 'Nicola Peltz', 'Jackson Rathbone', 'Shaun Toub', 'Aasif Mandvi', 'Cliff Curtis']",Conrad Buff,"['Nickelodeon Movies', 'Blinding Edge Pictures', 'The Kennedy/Marshall Company']",2010,0.35,150000000.0,Failure
106,Predators,Nimród Antal,"['Robert Rodriguez', 'John Davis', 'Elizabeth Avellán']",Gyula Pados,107.0,2010-07-07,20th Century Fox,English,"['Alex Litvak', 'Michael Finch']","['Adrien Brody', 'Topher Grace', 'Alice Braga', 'Walton Goggins', 'Laurence Fishburne']",Dan Zimmerman,"['20th Century Fox', 'Troublemaker Studios', '', 'Dune Entertainment', 'Ingenious Media']",2010,0.71,40000000.0,Success
107,The Kids Are All Right,Lisa Cholodenko,"['Gary Gilbert', 'Jeffrey Levy-Hinte', 'Celine Rattray']",Igor Jadue-Lillo,107.0,2010-01-25,"['Focus Features', ' (Select territories)', 'Inferno Distribution (International)']",English,"['Lisa Cholodenko', 'Stuart Blumberg']","['Annette Bening', 'Julianne Moore', 'Mark Ruffalo', 'Mia Wasikowska', 'Josh Hutcherson']",Jeffrey M. Werner,"['Gilbert Films', 'Mandalay Pictures', 'Antidote Films']",2010,0.62,4000000.0,Success
108,Rec 2,"['Jaume Balagueró', 'Paco Plaza']","['Julio Fernández', 'Carlos Fernández']",Pablo Rosso,85.0,2009-10-02,Filmax,Spanish,"['Jaume Balagueró', 'Paco Plaza', 'Manu Díez']","['Manuela Velasco', 'Jonathan Mellor', 'Oscar Sánchez Zafra', 'Ariel Casas', 'Alejandro Casaseca', 'Pablo Rosso', 'Claudia Silva']",Xavi Gimenez,"['Filmax', 'Castelao Productions']",2009,0.39,5600000.0,Success
109,Valhalla Rising,Nicolas Winding Refn,"['Johnny Andersen', 'Bo Ehrhardt', 'Henrik Danstrup']",Morten Søborg,92.0,2009-09-04,Scanbox Entertainment,English,"['Nicolas Winding Refn', 'Roy Jacobsen', 'Mike Arcidi']",['Mads Mikkelsen'],Mat Newman,Nimbus Film Productions,2009,0.3333333333333333,5700000.0,Failure
110,The Sorcerer's Apprentice,Jon Turteltaub,Jerry Bruckheimer,Bojan Bazelli,109.0,2010-07-08,"['Walt Disney Studios', 'Motion Pictures']",English,"['Doug Miro', 'Carlo Bernard', 'Matt Lopez']","['Nicolas Cage', 'Jay Baruchel', 'Alfred Molina', 'Teresa Palmer', 'Monica Bellucci']",William Goldenberg,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions']",2010,0.72,150000000.0,Failure
111,Inception,Christopher Nolan,"['Emma Thomas', 'Christopher Nolan']",Wally Pfister,148.0,2010-07-08,Warner Bros. Pictures,English,Christopher Nolan,"['Leonardo DiCaprio', 'Ken Watanabe', 'Joseph Gordon-Levitt', 'Marion Cotillard', 'Elliot Page', 'Tom Hardy', 'Cillian Murphy', 'Tom Berenger', 'Michael Caine']",Lee Smith,"['Warner Bros. Pictures', 'Legendary Pictures', 'Syncopy']",2010,0.73,160000000.0,Success
113,Ramona and Beezus,Elizabeth Allen,"['Denise Di Novi', 'Alison Greenspan']",John Bailey,103.0,2010-07-23,20th Century Fox,English,"['Laurie Craig', 'Nick Pustay']","['Joey King', 'Selena Gomez', 'John Corbett', 'Bridget Moynahan', 'Ginnifer Goodwin', 'Josh Duhamel', 'Sandra Oh']",Jane Moran,"['Fox 2000 Pictures', 'Di Novi Pictures', 'Impact Productions', 'Walden Media', 'Dune Entertainment', 'Eyeline Entertainment']",2010,0.69,15000000.0,Failure
114,Salt,Phillip Noyce,"['Lorenzo di Bonaventura', 'Sunil Perkash']",Robert Elswit,104.0,2010-07-19,Sony Pictures Releasing,English,Kurt Wimmer,"['Angelina Jolie', 'Liev Schreiber', 'Chiwetel Ejiofor', 'Andre Braugher']","['Stuart Baird', 'John Gilroy']","['Columbia Pictures', 'Di Bonaventura Pictures', 'Wintergreen Productions', 'Rainmaker Digital Effects']",2010,0.7,110000000.0,Success
115,Farewell,Christian Carion,"['Philip Boëffard', 'Bertrand Faivre', 'Christophe Rossignon']",Walther van den Ende,113.0,2009-09-04,Pathé,English,Christian Carion,"['Guillaume Canet', 'Emir Kusturica', 'Alexandra Maria Lara', 'Willem Dafoe', 'Fred Ward']",Andrea Sedlácková,Canal+,2009,0.5,21000000.0,Failure
116,Life During Wartime,Todd Solondz,"['Derrick Tseng', 'Christine K. Walker', 'Elizabeth Redleaf']",Ed Lachman,97.0,2009-09-03,IFC Films,English,Todd Solondz,"['Shirley Henderson', 'Ciarán Hinds', 'Allison Janney', 'Michael Lerner', 'Chris Marquette', 'Rich Pecci', 'Charlotte Rampling', 'Paul Reubens', 'Ally Sheedy', 'Dylan Riley Snyder', 'Renée Taylor', 'Michael K. Williams']",Kevin Messman,Werc Werk Works,2009,0.5,4500000.0,Failure
117,Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,"['Andrew Lazar', 'Polly Johnsen']",Steven Poster,82.0,2010-07-30,Warner Bros. Pictures,English,"['Ron J. Friedman', 'Steve Bencich']","['Christina Applegate', 'Michael Clarke Duncan', 'Neil Patrick Harris', 'Sean Hayes', 'James Marsden', 'Bette Midler', 'Nick Nolte', 'Joe Pantoliano', 'Katt Williams', ""Chris O'Donnell"", 'Jack McBrayer', 'Wallace Shawn', 'Roger Moore', 'Fred Armisen', 'Paul Rodriguez', 'Kiernan Shipka']",Julie Rogers,"['CD2 Pictures', 'Village Roadshow Pictures', 'Mad Chance', 'Polymorphic Pictures']",2010,0.65,85000000.0,Failure
118,Charlie St. Cloud,Burr Steers,Marc Platt,Enrique Chediak,99.0,2010-07-30,Universal Pictures,English,"['Craig Pearce', 'Lewis Colick']","['Zac Efron', 'Amanda Crew', 'Donal Logue', 'Charlie Tahan', 'Ray Liotta', 'Kim Basinger']",Padraic McKinley,"['Relativity Media', 'Marc Platt Productions']",2010,0.63,44000000.0,Failure
119,Dinner for Schmucks,Jay Roach,"['Walter F. Parkes', 'Laurie MacDonald', 'Jay Roach']",Jim Denault,114.0,2010-07-30,Paramount Pictures,English,"['David Guion', 'Michael Handelman']","['Steve Carell', 'Paul Rudd', 'Jemaine Clement', 'Jeff Dunham', 'Bruce Greenwood', 'Ron Livingston']","['Alan Baumgarten', 'Jon Poll']","['DreamWorks Pictures', 'Spyglass Entertainment', 'Parkes + MacDonald Productions', 'Everyman Pictures', 'Reliance Entertainment']",2010,0.5625,62700000.0,Failure
120,The Extra Man,"['Shari Springer Berman', 'Robert Pulcini']","['Anthony Bregman', 'Stephanie Davis', 'Rebecca Rivo']",Terry Stacey,108.0,2010-01-25,Magnolia Pictures,English,"['Shari Springer Berman', 'Robert Pulcini', 'Jonathan Ames']","['Kevin Kline', 'Paul Dano', 'Katie Holmes', 'John C. Reilly']",Robert Pulcini,"['Wild Bunch', '3 Arts Entertainment', 'Likely Story', 'Tax Credit Finance']",2010,0.8181818181818182,7000000.0,Failure
121,Get Low,Aaron Schneider,"['Dean Zanuck', 'David Gundlach']",David Boyd,100.0,2009-09-12,Sony Pictures Classics,English,"['Chris Provenzano', 'C. Gaby Mitchell', 'Scott Seeke']","['Robert Duvall', 'Sissy Spacek', 'Bill Murray', 'Lucas Black']",Aaron Schneider,"['K5 International', 'Zanuck Independent', 'David Gundlach Productions', 'Lara Enterprises', 'TVN', ""Butcher's Run Films""]",2009,0.6666666666666666,7000000.0,Failure
122,Flipped,Rob Reiner,"['Rob Reiner', 'Alan Greisman']",Thomas Del Ruth,90.0,2010-08-06,Warner Bros. Pictures,English,"['Rob Reiner', 'Andrew Scheinman']","['Madeline Carroll', 'Callan McAuliffe', 'Rebecca De Mornay', 'Anthony Edwards', 'John Mahoney', 'Penelope Ann Miller', 'Aidan Quinn', 'Kevin Weisman']",Robert Leighton,Castle Rock Entertainment,2010,0.68,14000000.0,Failure
123,The Other Guys,Adam McKay,"['Will Ferrell', 'Adam McKay', 'Jimmy Miller', 'Patrick Crowley']",Oliver Wood,107.0,2010-08-02,Sony Pictures Releasing,English,"['Adam McKay', 'Chris Henchy']","['Will Ferrell', 'Mark Wahlberg', 'Eva Mendes', 'Michael Keaton', 'Steve Coogan', 'Ray Stevenson', 'Samuel L. Jackson', 'Dwayne Johnson']",Brent White,Columbia Pictures,2010,0.72,85000000.0,Failure
124,Step Up 3D,Jon M. Chu,"['Patrick Wachsberger', 'Erik Feig', 'Adam Shankman', 'Jennifer Gibgot']",Ken Seng,107.0,2010-08-02,"['Walt Disney Studios', 'Motion Pictures']",English,"['Amy Andelson', 'Emily Meyer']","['Rick Malambri', 'Adam G. Sevani', 'Sharni Vinson', 'Alyson Stoner']",Andrew Marcus,"['Touchstone Pictures', 'Summit Entertainment', 'Offspring Entertainment']",2010,0.53,30000000.0,Success
